Text,Sentiment
nvda - answer question entry (add) red candle 10:50am today. ove flag,1
"aap 950 lot bid feb 580 call 9.50, might push stock create support. 26 delta option",1
"wpi - short candidate list 12/31 missed it, got started short today",-1
mye breaking,1
short ht 200 sma stop high day. first target 53.95. second target 53.21 gap fill.,-1
qcom introduces streamboost: average home connects seven device internet,1
nvda love see momo next week like previous histogram bar noted.,-1
hma unusual option activity. trader buy 11k jan 9 put. short term bear play,-1
"adbe option trader buy 5,300 feb 39c oi 741. bet stock 39 feb 16th",1
"nvda ooks bullish must stay 13.05 closing basis (monthly), eps say no?",-1
sqnm watch list line volume 86% ave full day,1
hott failed breakout?,-1
zn_f ticking up.. id seller sdjpy (*if already)...,-1
"ino wow, nice accumulation today, heavy...",1
znga fat juicy short back lower level close gap 2.72?,-1
gdot nice bounce 50sma. ooks ready test recent high,1
hma ooking 10s; headed higher!,1
"spf ooking 9s, headed higher lower rates.",1
"g jpm xf hod, hungry stock there... spy",1
chk weekly bullish engulfing,1
g look good heading next week.,1
aap know ipad mini stock everywhere. going 8 different store none em stock,1
goog explodes aapl implodes minte 21 23 user vid year ago mark nailing subject,1
"kkd krispy kreme doughnuts, inc. ic xchange conference (ive) 01/17/13 9:15 a.m. et",1
picked f pullback due downgrade. held support close week. first pt 37.30,1
"user: ive picking one while, im calling kkd next food company make dpz like run twenty13.",1
"znga still show red dead enko view, pf box size 0.25",-1
"g enko view gs, pf box size = 5 showing potential break 175",1
"nvda enko view showing red dead, need 14 long & le 13 short",-1
"csx enko view, pf box size = 1, vey bullish 21, coal stock confirming move rails.",1
goog enko w/ pf box size 50 look like failed breakout,-1
user 155 g bullish fin rate low = fed put!,1
user znga use lagging indicator lagging stock ;),-1
"goog, like close 744.96",1
f b/o bull flag heavy vol. etest support today light vol. 41% short float,1
msft gap close. continues base. si rising. nice : pickup w/ stop major support & 28.22 pt.,1
financials continue ripping. easy money. c approaching 43 pt,1
v follow throughs. 10 dma crossing 200 dma. trading mas. great setup,1
"user bac yeah ... made easy profit slashing jobs, close win-win sales.",-1
new buy today watch list well nx 20% son yep bcei gdp ay sqnm total trigger week 39 - big week,1
"sbx #si #earththis kind stuff make u perk (so sorry!).but, go on...bullish five wave 58.",1
"say brainier? ong sbac stock, 60/80 feb collar protection...",1
anyone say much svu would go even deal go through? 4? 5? sure much upside left.,1
nvda bounce continues stock cleared 200sma 13 level. ong,1
axti momentum picking w/ macd climbing/si rising.obv indicator made new higher high week,1
gdot obv moving upwards mean big money moving stock slowly. ong,1
aapl daily (see notes),1
amzn daily (see notes),1
c daily (see notes),1
"egov long 16.62 strong mas, resting/basing, room upper bolly absorb 10/20 day atr",1
aa fib friend,1
tsa: judge dismisses massachusetts state automobile dealer association awsuit -,1
bac trending appear slow yet. prudent take profit time.,1
"fe - look like fired sell signal friday, may trade short tick friday low - work utility later...",-1
coh also got rejected cloud still slight uptrend past few. buy enters cloud,1
yum look good cloud stop either 200 sma cloud it. target 50 sma,1
eqix expe fb g hog mon pii qcom qih soda idea next week. favorite setup eqix,1
"eqix position, would like see breakout 216.50. prefer consolidation though",1
time contraction aap.down test 500 week weds.long jan11th 510/500 put spread,-1
aap bounce coming?,1
f en fuego!!,1
axa over-sold oscillating ange....indicators suggest buy price hold prev close + increase volume.,1
im holding check out. user: bullish macd cross: bbg cop eni eog jec ig sfy xe xop,1
"jds beautiful trend, 13.5 bring dip buyer",1
ko trouble staying 200 day sma past weeks. could short higher stop 38,-1
mako red day monday break support could test old low 9-9.25,-1
after-hour advanced: opt mako fod gnmk jds ege amn px aay ddd sv pm bk f,1
goog simple fibonacci projection close 739. 127.2% 766 161.8% 802,1
buying aap monday -,1
user: amzn 263 measured move 307,1
user ino pipeline partnership ni mk--that pretty much sum up...,1
"amzn data company, retailer. new post me.",1
trading environment favor long side. stay welcome. quality leaders. g amh ocn egn hov aap,-1
aap amazing run since 2005. think over.,1
tale two stock aap goog spy qqq,1
f ford powerful bullish pattern dictate price direction,1
dt - descending triangle. ower highs. participate well rally & overbought.,-1
cva 19.00,1
mck 100.05 -,1
vmed know prefer 3-4 day pullback reverse maybe mon tuesday flag break sup,1
"kidding, legible version. currently long f (tweeted friday)",1
ford perform well due hurricane sandys destruction. f palladium well pa bank buy pick bac c san g,1
g buy pullback 133 bigger pullback 130.,1
ceg keep watch list.,1
wish tv would die already like newspaper told cbs ftw!,1
think aap heading back check 506 support,-1
amzn but.....yap yap yap,1
sndk pattern looking interesting. successfully break gap time around?,1
"#amzn all-time high pre-market , aapl still plunging. interesting trading day!",1
see risk es_f 1442.00-1423.75 bearish momentum divergence resolve spx spy #stocks.,-1
user: onxx strong price & vol expansion friday. possibly looking higher price > another biotech 2 level,1
znga momentum building upside.? watch.,1
e watch list also fast move today volume 77% ave full day usually tiny volume,1
twi like long 24% short...,1
"green weekly triangle heo,....pdating",-1
eog - 60 min pullback breakout - watching 1/2 position,1
kcg 3.75?,1
zcs almost hit stop loss...glad see heading back,1
aap closed short nice gains.,-1
"v beautiful uptrend since june 12. never broke higher high, higher low trend",1
awesome aap trendline ever. since 1986!!,-1
"ddd - ong 27.95. trailing stop 42.35 7 prior stop 41.70, 39.03, 36.53, 32.35, 27.95, 25.44 22.93 -",1
nx largest watch list gainer new buy friday biggest mover today protect gain,1
"green weekly triangle ktos,....pdating",-1
ak corrected - pphm largest watch list gainer today - though gapped big open,1
aap positive close 530 today bullish. ill looking possible ong set up.,1
ceg possible ong today want play jpmogan biotech conference.,1
"fme: ong 10.25. trailing stop 13.75 8 prior stop 12.29, 11.50, 10.97, 10.63, 10.36, ... 9.64 & 9.03 -",1
showed friday upside orange dot traget 517+ hit morn red dot,-1
triggered 34. first target 34.55-.90,1
sxc - breaking key downward channel level. ikely move much higher here.,1
"must follow young man user: amzn data company, retailer. new post me.",1
pg short back,-1
ovti downgrade sept 7th 16.77 q1 looking good. next filing q3 end feb.,-1
v option trader sell 26k 47.25 - 52.25 call spread march. big bet stock 47.25 march expiry,-1
"aa option trader bet bad earnings selling 6,200 jan 9c buying 3,200 jan 9p. could hedge stock. trade low oi",-1
skx q3 operational cash flow negative 60million. 80million decline vs.q3 2011,-1
skx 9 mos. 2012 operational cash flow negative 20 million. 95 million decline vs. 9mos 2011,-1
"ed weekly triangle snss,.....pdating",1
bac avrg 12.127,1
first trade coming back vacation. hot short 59.80. stop 60.30,-1
"green weekly triangle scc,....pdating",-1
podd breaking new 52wk high decent base,1
3 horseman high beta momo chase f gmc nfx slammed bit : advanced tell new year party mrkt ?,-1
pna look like solid set,1
name buy pullback g ceg fb f,1
ba flush,-1
"amazon break 1,600 (adjusting splits) via user amzn",1
"financials xf driving mkt higher, today weak-ish (except jpm) 1st time while, little red flag 1...",-1
ive broadcast got long signal pcn covered discount buy-in ! need push,1
"amzn vome go, big boy grabbing stocks. higher price come.",1
twi high seen since september,1
"user gold 2011 stock contest w v, silver 2012 w tkc. ddaif call win 2013?",1
amzn fb pick higher price week. breaking considerable volume.,1
eceryone want piece pcn gorwth magic...stakes high...innovation fast marketing stake high,1
"user scheplick easy short amzn - buy ipad mini, tax prep book border ackspace time.;-)",-1
might open position today. cup handle make one fly 7-7.5 quickly.,1
"cs, ko positive.... nice reversal ko",1
axp trying make move too. getting interesting.,1
strong follow thru day breaking new high last friday - confirmation solid,1
"v new highs, looking higher price",1
ceg strong breakout new high today 2x daily avg. volume. ooks good upside,1
wetf cheap financial stock trying b/o. would like see pullback/consolidation first,1
"nfx short paranoid every close buyout come 1 night aapl, msft, goog, amzn, etc. dominate webtv long nflx",1
"last 3 sessions, last hour buyer back, money need put work... money flows... spy tt es_f",1
"user stock telling u anything new, trend saying lot. e aaps anticipated years.",1
above: rax setting spy,1
pcn - long entry,1
"green weekly triangle ampe,....sell short 4.15",-1
"green weekly & monthly triangle fws,....pdating monthly",-1
"user saying zagg another 23%, how?",-1
"green weekly & monthly triangle pab,....pdating",-1
744.96 great level close goog,1
"aap short-term outlook. 3 possible scenarios, 2 bullish",1
barclays upside case csod year end price target 46. based 8x cy14 revenue 10% upside estimates. quite achievable!,1
ctxs (conservative swing) bouncing nicely support (w/volume) mcp (aggressive swing) however strong probability.,1
user: amzn time bird fly south!,-1
"vvs technical positive continued climb. si, obv macd look good",1
"akx b/out 13.78, like base action spot & declining vol, ripe pop",1
"hao b/out 7.20, price rejected 7.19 today, also high 12/21",1
"hway b/out 11.08, nice base spot",1
yum premarket cloud support 62.75,-1
"multi-day downswing es_f favored, see demand zone 1442.00-1423.75 spx spy #stocks.",-1
"mon - making sale - buyer weakness, look like game while...",1
fin 9mos operational cash flow decline 15million vs. prior yr first 9mos. 198% decline,-1
ayi q1 operational cash flow turn negative,-1
ayi 1st negative operational cash flow quarter since quarter novemebr 2008,-1
ayi 2013 q1 operational cash flow negative 14.5 million. decline 41 million vs. q1 2012. 152% decline,-1
526.20 bid hit aapl expecting least move 540 today :),1
"mon 2013 q1 operational cash flow 1.569 billion, 459 million increase v 2012 q1. 41% increase",1
fio nothing air stock 17.70-17.80,-1
"aap daily fade motion again, people want still work...",-1
shorted nfx 1.00 stop.,-1
ctic got long,1
catch user: hot ink totally hook morning - many great read aap maco,1
ihs year end operational cash flow declined 27 million vs. 2011. 8.19% decline,-1
watch xf jpm bac od closely...,-1
unit cost 1.60 see bounce ctic,1
little whip pop drop go one purchase avg day limit exposure % portfolio ctic,1
"shd get short, someone big must exiting imo... sitting 40 put am!",-1
mon - added,1
"like gag new american socialism, enjoy video courtesy aig:",-1
jnp - added,1
x - added,1
"user mr. florida, hope well. trade save past, im asking you. like here? ooking fill gap?",1
shd ... die already? ampert know 2 sh*ts running retail. bought sears property...,-1
"wn: ong 19.79. trailing stop 24.39 6 prior stop 23.76, 20.42, 19.79, 18.09, 17.13 16.39 -",1
"deck: short 66.41. trailing stop 44.16 5 prior stop 51.65, 59.07, 66.41, 74.13 & 81.85 -",-1
wfm - short back,-1
"nice base building 1.50 -1.54 ctic test hod afternoon, setting nicely follow thru tomorrow. #tradeoftheweek",1
16 million share ctic almost 10x avg daily vol. think one day story. gap 2.05 plenty rm run imho,1
shd eddie ampert 1 trick pony...,-1
"et angry, anecdotal comment begin: still think blackberry & im doomed. imm aap goog nok vz",-1
user think aap putting long term bottom.....of course could wrong look like :-),1
price alert go www desk.,-1
gg delisted soon typicall pump dump story last month careful one day trade mil next day ur stuck,-1
tso option trader buy 10k feb 40p 1.60. 1.6 million bet stock 40 feb exp. could hedge too. oi 544,-1
ddd ssy stop honored. it. now.... must.not.become.bearshitter.,-1
cybx keep consolidating near all-time high,1
ddd sentiment stock change blink eye. faint heart. still long term bullish.,1
mcp bottom 11.00? strong esistance. nder level...short breakout chance.,-1
aig win awsuit announces dividend reinstatement. :),1
tivo buyout coming? sure seems strong late?,1
biggest mistake made day sticking gut reversal #soas #2 sticking watchlist dk stp ana kog,1
ddd look easy short,-1
instinct spot 2013 still think ctic hit 2.05 wk still want stick morning watchlist & chase,1
ax look good higher price,1
cm holding well,1
"ana conference tomorrow, guess hit 10.05 all...",1
"nfx - hearing pjco cautious following comscore data: following weak december, overall 4q traffic turn negative user",-1
"se pullback 2 initiate quick trades, invest, long. keep stop tight & sell up. aap egn ocn amh ddd nsm",1
"piper jaffray making negative comment nfx cst ed box : comscore q4 data weak edbox, netflix",-1
maybe good time buy td 44 level appears holding key support level,1
"csn option trader buy 1,500 jan 11-16 call spread low oi indicating entering position .50. bet data bef. jan 19",1
aa go kid college fund!,1
x option trader take profit feb26p selling 8k 8k oi rolling position feb 25p buying 8k 1.48,-1
"green monthly triangle acad,....net profit 7,177.00 (11.49%)",1
far good regarding apo #earnings strategy. far soon call win though.,1
aa went in..,1
"aa hold key spx? aa earnings, spx +1.90% mo. later.",1
"call week aa, wfc, apo, mon",1
aa like spin operational cash flow,-1
apo q1 2013 operational cash flow 210 million. 90million decline vs. 2012 q1. 30% decline,-1
"ed weekly triangle ams,....net profit 26,135.00 (38.40%)",-1
cm avg tho amwd coiling breakout new highs. set buy stop slightly recent highs.,1
"user jemberlin number too, good swing, personally hate amd,",-1
spy spx e green hedge star model: next stop 1410.56 spx 1387.92 lower.,-1
swhc look like ban large capacity magazine hurdle purchase table politicians. evening news,1
aa q4 operational cf declined 209m vs. q411. 18% decine. p spin say higher q3 2012. note q3 12 263m le q311,-1
ht closed > 200 sma (barely) 3rd time since oct- eps way- watch volume > 55,1
user pwe crazy hao green weekly triangle short long,-1
wt huge 39 seller today... check daily... hold 40-42 loooks good swing,1
aj 18.00 good volume,1
cybx broke time high accompained strong volume suggesting higher levels.,1
onty look poised bounce bottom. si starting turn & macd crossing signal,1
still trading within uptrend channel. short-term uptrend still intact. im still bullish nvda,1
vvs vivus ceo eportedly say acquisition inevitable talking deal eporter j.p. morgan,1
user: c runner,1
"v one longest growth stock holdings, ever (19 month counting)...",1
fio bouncing morning (25% short interest) still nothing air till 17.90s,-1
tol doji yesterday could mean another lower high. wait close cloud going short,-1
"amwd setting nicely 29.33. strong building construction product group, along apog.",1
"tab like one, real reason, new contract picking slack, 2013 small cell tech, & software-as-a-service!!!",1
f - buy signal triggered u,1
anf radar move 48.70-49,1
dgi ftd. pivot range 26.98 28.33.,1
hpq option trader buy 10k aug 13p .78. 780k bet stock 13 aug expiration. could stock hedge,-1
"faf new highs, still holding. need volume here.",1
n perfect day reversal candle dailies.,-1
voc actually triggerd yesterday closed back line - today itstrying - vol 16%,1
added app,1
"wfm - added small 89, prefer 90-91 level lay short",-1
ma watch list broke flag today- also top line volume 11% full day ave,1
cmg - 5m descending triangle. 9% avg volume.,-1
user: ddd broke bear flag upside.... ots short understand momentum caught stdy,1
dgi still moving,1
ssys maybe share outstanding short.. ....11 million operational cash flow ttm trading 1.9 bil mkt cap,-1
ssys operational cash flow declined 42% ttm vs. ttm,-1
"covering 1/2 wac short 47.15, looking lower got book some...",-1
"vtx option trader buy 3,700 put spread april 48 42 strikes. could big bet move stock hedge",-1
f 4 hour - nice bounce ichard.,1
"gnc - nice inverse head shoulders, well nice pullback support previous box-breakout",1
"user hate 3, average end screw up, good nn",-1
da nice run entry; moving stop breakeven,1
"ed weekly triangle ctic,....net profit 675.00 (3.88%),...gly waiting 3 month",-1
cw clearwire corp arge trade put show bearish interest despite dish bid,-1
apo strong push support (w/volume),1
watch list hao slipped line watching - volume 76% full day ave,1
"bearish thing seen week, good overall market jpm spy es_f",-1
"user bullish sell always, buy; bearish market buy sell nx",-1
voc watch list added tuesday run 50-day ema vol increased 86%,1
ana getting breakout yest holding today. presenting jpm conf today 6:30est,1
"trade idea buy esc 25.95, target 35.50, cut 21.40",1
"swks decision coming soon...expecting break...up...looking si, macd & tix",1
small dose reality ctic :,-1
"v option trader close feb 50c selling 12k 22k oi. open position feb 55c selling 23k hard bid vs. oi 2,700",-1
six year ago apple introduced iphone world. remember were? aapl #sixyearsold,1
ew went long ew 93.15. ooks like ready make move 98 w/breakout consolidation,1
ebay basing,1
short yhoo,-1
chk thanks jpm upgraded,1
dec 6 bb&t cm initiated ssys buy 68. wonder still buy 28% 30 days?,-1
user: ssys eached si 80% crash near,-1
ssq pulling back suspected. uckily sold near 11.20 re (tweeted). watching 10.80 get bck,1
"user day ipo tripled position 42 (ipo priced 39) never touched since, probably best stock move ever...",1
aap p&f bullish again...,1
"aap support broken hesitate sell lot downside. now, : favor longs",1
user: eaders ead. bac >on side question... even aap broken since week. medium outlook look bright.,-1
"green weekly triangle depo,....scaling 6.40",-1
"intel tobacco stock?...interesting read analogy...up intel guess, dividend tasty intc",1
"green weekly triangle fnfg,....scaling 8.22",-1
"faf - ong 16.92. trailing stop 22.31 8 prior stop 22.04, 16.92, 16.40 ... 15.17 15.10 -",1
"swy - inside day - held 50 sma, rsi holding 40 , look like counter-trend move",1
"despite weakness aap, spy fill 2days gap - reversed mere 0.13 away. every stock outperforming aap day",1
ipx 22.15,1
28.25 28.50,1
xxia 18.00,1
user shot yhoo 0!!!!!,-1
"wpi - buying look counter-trend, possible bear wedge, wont happy close 2-3 day 50sma, re-evaluate",-1
mon - monthly - game on...,1
"ha eps estimate slashed squeezed stock crash lands, looking low 5",-1
"tso long crack spread say low 30 = short, vo good short too!",-1
"aap pain gain, stay 500 (mostly) higher 580 go low 470",-1
geoy trading at: 41.09 share worth 1.425 share dgi (28.84) x 1.425 = 41.09:,1
china fix ing stdy,1
chk good info user: user s&p 1470 thing rip imo,1
"name like skypeople fruit juice, sp going next aap. wait see.",1
"wh consolidating highs, gap support immediately price. -",1
mt beav --- setting possible higher price,1
mgm caught ange user,-1
new post - could peter ynchd stock md,1
fsc go ex-dividend tomorrow paying monthly 0.0958 per share next payment jan. 31st 10.60% yield,1
user 3dtradingtrader 3.1mio expend race offer depo,-1
voxx user stock. kudos friend!,1
"mcp performing expected, many red flag raised one last months, many could say told so...",-1
"swy - *wsj: cerberus, supervalu strike deal - source - may put bid swy",1
"se shot ceco, sm, aci, dmnd, ns, gcy, bbg, ef, tm, eoc, xco, vccf, pq, axas, pst, p, kcg, mnta, nav, pac",-1
hpq 16.50 call .04!,1
aap daily pop vomit motion...,-1
"mcp catch knife, think survive define risk buy january 2015 eap option forget till then...",-1
"px - ong 9.01. moved trailing stop 13.30 3 stop 9.01, 7.78 & 6.55 -",1
aap ... see 1 3min candle row far am.,-1
"aap go red, amazing many time pattern repeat over...",-1
user u miss still going lower :) mcp,-1
gdot making new higher high. macd bullish cross + obv trending upwards.time fill gap.,1
back full size position znga,1
fce triggered tues gapped wed today imo think - take profit,1
"goodbye faf, acting weak, ive never liked anyway - next",-1
likin msft neg dvrgnce+hammer today goin quadruple bottom. still longs w/ stop,-1
wfc miss add,1
bac wait setup again. ooks like retest 10.66 sure.,-1
"mcp lot red flags, ceo abruptly fired without permanent replacement got attention...",-1
aap gonna bounce hard 516,1
g looking super strong.,1
wait see w/schools 2013 user: jmba airport location generally packed. good news user,1
g want higher,1
"aap watch cs, tell aap imo!",1
bk - added long,1
user: long nfx 100 call .27 expire tomorrow .40 +48% need greedy expiring tomorrow,1
jnp - added long,1
cee 5 min retest,1
aap - trimmed 1/2 short exposure 516 level,-1
aap lower high lower low intraday...where big near term support?,-1
cult apple dying - aap,-1
zion...looks basing breakout...could touch bottom triangle though,1
hpq ocket since noon!,1
hpq ook volume too! nice! 16.50 call it!,1
"x - took long exposure 25.95 - 26 area - still bullish look, stock rip - n - dip rhythm, want dry powder 2 trade",1
"user sweet money, need another 1.8% scaling sell short csn",-1
hpq man call option cheap!,1
